IdLog,IdUtilisateur,IdSession,Horodatage,Page,Action,Appareil,Pays,TempsReponseMs,CodeStatut,CategorieProduit,ChiffreAffaires
23,UTIL0147,SESSION00434,2025-12-23 23:50:35,/connexion,voir_page,tablette,Suisse,2073,200,Mode,0.0
24,UTIL0297,SESSION00556,2025-02-01 23:20:03,/accueil,voir_page,ordinateur,Belgique,2032,200,Telephonie,0.0
25,UTIL0261,SESSION00083,2025-04-06 02:38:04,/accueil,cliquer_produit,tablette,Pays-Bas,1043,200,Beaute,0.0
26,UTIL0042,SESSION00430,2025-12-03 18:36:33,/accueil,voir_page,mobile,Italie,916,200,Mode,0.0
27,UTIL0068,SESSION00308,2025-08-23 10:59:48,/contact,voir_page,ordinateur,France,1957,200,Beaute,0.0
28,UTIL0276,SESSION00219,2025-09-17 08:08:59,/produits,achat,mobile,France,1080,200,Maison,230.33
29,UTIL0271,SESSION00009,2025-12-08 17:19:59,/commande,cliquer_produit,tablette,France,630,200,Informatique,0.0
30,UTIL0140,SESSION00289,2025-11-06 06:45:21,/details-produit,ajouter_panier,ordinateur,Suisse,1161,200,Mode,0.0
31,UTIL0048,SESSION00434,2025-05-22 01:00:21,/accueil,passer_commande,ordinateur,Suisse,1152,200,Sport,0.0
32,UTIL0288,SESSION00010,2025-02-27 02:56:44,/contact,cliquer_produit,ordinateur,Belgique,227,200,Beaute,0.0
33,UTIL0066,SESSION00043,2025-06-07 11:57:59,/contact,cliquer_produit,ordinateur,Italie,940,200,Gaming,0.0
34,UTIL0209,SESSION00159,2025-05-02 05:51:51,/promotion,voir_page,ordinateur,Espagne,181,200,Mode,0.0
35,UTIL0128,SESSION00274,2025-03-23 22:06:24,/contact,ajouter_panier,ordinateur,Pays-Bas,2007,200,Telephonie,0.0
36,UTIL0157,SESSION00234,2025-04-25 00:42:12,/paiement,passer_commande,mobile,Italie,1221,200,Telephonie,0.0
37,UTIL0205,SESSION00550,2025-06-19 00:07:56,/promotion,voir_page,mobile,Allemagne,2458,404,Mode,0.0
38,UTIL0177,SESSION00322,2025-08-12 19:32:07,/contact,voir_page,mobile,Belgique,858,200,Gaming,0.0
39,UTIL0276,SESSION00202,2025-07-06 13:04:42,/promotion,voir_page,mobile,Belgique,1365,200,Informatique,0.0
40,UTIL0260,SESSION00317,2025-12-08 13:20:25,/commande,ajouter_panier,tablette,Italie,2350,200,Sport,0.0
41,UTIL0090,SESSION00583,2025-06-04 12:35:53,/contact,cliquer_produit,ordinateur,Italie,1255,200,Telephonie,0.0
42,UTIL0239,SESSION00453,2025-08-15 21:13:32,/paiement,cliquer_produit,mobile,Pays-Bas,775,200,Mode,0.0
43,UTIL0048,SESSION00241,2025-12-11 09:14:51,/paiement,cliquer_produit,ordinateur,Allemagne,180,200,Sport,0.0
44,UTIL0234,SESSION00425,2025-11-19 18:12:45,/produits,cliquer_produit,tablette,Espagne,2104,200,Maison,0.0
45,UTIL0055,SESSION00436,2025-04-23 05:51:44,/accueil,cliquer_produit,tablette,Espagne,285,200,Telephonie,0.0
46,UTIL0238,SESSION00544,2025-10-14 19:20:48,/details-produit,voir_page,mobile,Belgique,2147,200,Beaute,0.0
47,UTIL0244,SESSION00461,2025-05-13 07:53:40,/details-produit,voir_page,mobile,Pays-Bas,2215,200,Maison,0.0
48,UTIL0147,SESSION00241,2025-05-20 10:20:57,/produits,voir_page,tablette,France,646,200,Sport,0.0
49,UTIL0033,SESSION00425,2025-07-28 10:34:29,/panier,cliquer_produit,mobile,France,927,200,Sport,0.0
50,UTIL0295,SESSION00390,2025-09-02 00:22:19,/accueil,passer_commande,mobile,Pays-Bas,1796,200,Gaming,0.0
51,UTIL0250,SESSION00225,2025-05-20 13:31:01,/panier,cliquer_produit,mobile,Italie,1736,200,Telephonie,0.0
52,UTIL0274,SESSION00028,2025-07-21 18:36:42,/details-produit,cliquer_produit,ordinateur,France,1835,200,Sport,0.0
53,UTIL0195,SESSION00336,2025-04-19 14:20:21,/commande,voir_page,mobile,Italie,1806,200,Informatique,0.0
54,UTIL0027,SESSION00359,2025-04-25 20:04:49,/promotion,cliquer_produit,tablette,France,207,404,Maison,0.0
55,UTIL0123,SESSION00130,2025-08-31 21:07:36,/details-produit,ajouter_panier,ordinateur,Espagne,1129,200,Maison,0.0
56,UTIL0084,SESSION00319,2025-02-25 18:01:59,/produits,cliquer_produit,mobile,Belgique,1617,200,Gaming,0.0
57,UTIL0053,SESSION00309,2025-12-17 19:51:07,/panier,voir_page,tablette,Pays-Bas,248,200,Sport,0.0
58,UTIL0260,SESSION00350,2025-01-07 13:52:31,/produits,cliquer_produit,ordinateur,Espagne,1563,200,Telephonie,0.0
59,UTIL0223,SESSION00181,2025-09-25 20:17:39,/details-produit,cliquer_produit,tablette,Pays-Bas,2060,200,Telephonie,0.0
60,UTIL0166,SESSION00252,2025-02-14 08:56:28,/commande,ajouter_panier,ordinateur,Pays-Bas,1983,200,Gaming,0.0
61,UTIL0254,SESSION00333,2025-04-04 15:13:22,/accueil,voir_page,mobile,Italie,1225,200,Gaming,0.0
62,UTIL0006,SESSION00530,2025-04-08 02:15:46,/promotion,passer_commande,mobile,Espagne,2354,200,Gaming,0.0
63,UTIL0230,SESSION00018,2025-02-17 09:14:25,/connexion,cliquer_produit,tablette,Allemagne,1334,200,Mode,0.0
64,UTIL0177,SESSION00436,2025-10-09 10:22:44,/promotion,cliquer_produit,mobile,Italie,1335,200,Informatique,0.0
65,UTIL0062,SESSION00549,2025-12-20 05:12:13,/paiement,ajouter_panier,tablette,Espagne,1212,200,Telephonie,0.0
66,UTIL0052,SESSION00199,2025-06-01 07:23:11,/commande,cliquer_produit,mobile,France,2267,200,Informatique,0.0
67,UTIL0150,SESSION00130,2025-11-23 15:06:55,/promotion,achat,ordinateur,Belgique,1244,200,Sport,183.54
68,UTIL0245,SESSION00117,2025-02-03 12:31:04,/commande,achat,tablette,Suisse,299,200,Telephonie,290.16
69,UTIL0061,SESSION00572,2025-08-02 19:38:50,/panier,voir_page,tablette,Allemagne,2220,200,Sport,0.0
70,UTIL0157,SESSION00583,2025-11-14 01:39:47,/contact,voir_page,ordinateur,Pays-Bas,931,200,Mode,0.0
71,UTIL0123,SESSION00178,2025-10-10 02:10:00,/details-produit,cliquer_produit,mobile,Espagne,2004,200,Maison,0.0
72,UTIL0233,SESSION00073,2025-12-18 07:59:16,/commande,voir_page,tablette,Belgique,890,200,Beaute,0.0
73,UTIL0137,SESSION00146,2025-02-06 01:10:50,/details-produit,voir_page,mobile,Belgique,2411,404,Sport,0.0
74,UTIL0207,SESSION00279,2025-09-14 17:31:28,/commande,voir_page,ordinateur,Belgique,243,200,Gaming,0.0
75,UTIL0014,SESSION00094,2025-04-28 21:53:55,/commande,voir_page,tablette,Belgique,164,500,Gaming,0.0
76,UTIL0090,SESSION00482,2025-09-23 20:28:58,/accueil,ajouter_panier,mobile,Allemagne,2477,200,Telephonie,0.0
77,UTIL0241,SESSION00357,2025-07-29 10:20:42,/produits,cliquer_produit,ordinateur,Pays-Bas,738,200,Gaming,0.0
78,UTIL0282,SESSION00038,2025-08-21 02:20:16,/contact,cliquer_produit,mobile,France,1735,200,Telephonie,0.0
79,UTIL0237,SESSION00424,2025-01-28 06:33:23,/promotion,achat,tablette,Pays-Bas,2121,200,Telephonie,44.77
80,UTIL0148,SESSION00449,2025-12-24 15:07:01,/details-produit,voir_page,tablette,Belgique,1060,200,Mode,0.0
81,UTIL0209,SESSION00096,2025-04-26 03:29:07,/promotion,cliquer_produit,tablette,Pays-Bas,710,200,Gaming,0.0
82,UTIL0213,SESSION00495,2025-08-30 07:29:35,/commande,voir_page,ordinateur,Espagne,860,404,Beaute,0.0
83,UTIL0036,SESSION00283,2025-08-01 10:59:50,/details-produit,ajouter_panier,tablette,Italie,90,200,Mode,0.0
84,UTIL0077,SESSION00458,2025-10-03 15:22:21,/connexion,ajouter_panier,tablette,Pays-Bas,2305,200,Mode,0.0
85,UTIL0293,SESSION00393,2025-04-30 13:02:20,/panier,passer_commande,tablette,Espagne,1641,200,Gaming,0.0
86,UTIL0254,SESSION00038,2025-03-06 16:37:21,/details-produit,ajouter_panier,ordinateur,Pays-Bas,1883,200,Sport,0.0
87,UTIL0210,SESSION00159,2025-02-08 15:50:16,/details-produit,voir_page,mobile,Belgique,1708,200,Telephonie,0.0
88,UTIL0195,SESSION00325,2025-11-17 22:56:48,/promotion,voir_page,mobile,Pays-Bas,2296,200,Informatique,0.0
89,UTIL0117,SESSION00093,2025-08-11 03:48:40,/commande,voir_page,tablette,Pays-Bas,491,200,Gaming,0.0
90,UTIL0024,SESSION00333,2025-01-29 09:22:23,/accueil,voir_page,mobile,Allemagne,1080,200,Beaute,0.0
91,UTIL0088,SESSION00180,2025-02-10 19:55:24,/details-produit,cliquer_produit,tablette,Suisse,1066,200,Beaute,0.0
92,UTIL0131,SESSION00471,2025-05-11 21:00:57,/connexion,voir_page,mobile,Italie,2318,200,Sport,0.0
93,UTIL0218,SESSION00257,2025-08-22 09:12:24,/commande,achat,mobile,France,1051,200,Mode,295.91
94,UTIL0012,SESSION00406,2025-05-21 00:36:55,/commande,achat,tablette,Pays-Bas,280,404,Gaming,0.0
95,UTIL0118,SESSION00361,2025-04-23 20:12:39,/commande,cliquer_produit,mobile,Suisse,640,200,Gaming,0.0
96,UTIL0226,SESSION00035,2025-10-24 11:46:08,/commande,cliquer_produit,ordinateur,Italie,1418,200,Maison,0.0
97,UTIL0188,SESSION00544,2025-09-14 08:53:10,/promotion,voir_page,mobile,Pays-Bas,2053,404,Mode,0.0
98,UTIL0059,SESSION00480,2025-02-08 04:48:14,/paiement,ajouter_panier,tablette,Suisse,1707,404,Telephonie,0.0
99,UTIL0203,SESSION00015,2025-05-16 17:07:29,/produits,cliquer_produit,mobile,Suisse,1153,200,Telephonie,0.0
100,UTIL0056,SESSION00240,2025-08-30 00:39:56,/paiement,cliquer_produit,tablette,Italie,986,200,Gaming,0.0
101,UTIL0210,SESSION00120,2025-03-13 01:02:19,/commande,ajouter_panier,mobile,France,478,200,Beaute,0.0
102,UTIL0190,SESSION00554,2025-08-03 18:47:46,/connexion,voir_page,ordinateur,Espagne,485,200,Beaute,0.0
103,UTIL0017,SESSION00380,2025-04-22 14:28:15,/commande,voir_page,mobile,France,1584,200,Gaming,0.0
104,UTIL0142,SESSION00195,2025-03-04 14:05:42,/contact,voir_page,ordinateur,Suisse,167,200,Mode,0.0
105,UTIL0290,SESSION00211,2025-02-05 17:13:37,/details-produit,voir_page,ordinateur,Pays-Bas,1034,200,Maison,0.0
106,UTIL0142,SESSION00149,2025-03-08 17:16:51,/accueil,ajouter_panier,ordinateur,France,185,200,Mode,0.0
107,UTIL0166,SESSION00017,2025-03-31 08:03:08,/panier,ajouter_panier,tablette,Espagne,2234,200,Informatique,0.0
108,UTIL0263,SESSION00112,2025-08-20 16:14:39,/paiement,cliquer_produit,ordinateur,Suisse,2215,200,Gaming,0.0
109,UTIL0246,SESSION00412,2025-08-07 21:06:31,/accueil,achat,tablette,Espagne,381,200,Mode,311.98
110,UTIL0300,SESSION00562,2025-12-31 10:24:38,/commande,voir_page,tablette,Italie,1938,200,Sport,0.0
111,UTIL0283,SESSION00221,2025-08-09 14:56:14,/produits,voir_page,mobile,Italie,1937,200,Gaming,0.0
112,UTIL0161,SESSION00262,2025-07-11 04:43:59,/contact,voir_page,mobile,France,453,200,Informatique,0.0
113,UTIL0067,SESSION00570,2025-01-31 18:35:35,/paiement,voir_page,mobile,Suisse,580,200,Telephonie,0.0
114,UTIL0027,SESSION00295,2025-11-04 09:22:06,/contact,cliquer_produit,tablette,Belgique,951,200,Sport,0.0
115,UTIL0180,SESSION00570,2025-07-08 03:48:17,/produits,voir_page,tablette,Allemagne,1837,200,Telephonie,0.0
116,UTIL0014,SESSION00274,2025-01-15 05:17:44,/promotion,ajouter_panier,mobile,Italie,1517,200,Telephonie,0.0
117,UTIL0036,SESSION00146,2025-11-21 00:05:47,/contact,voir_page,tablette,Allemagne,1620,200,Mode,0.0
118,UTIL0167,SESSION00582,2025-11-02 02:56:03,/commande,voir_page,ordinateur,Allemagne,283,200,Mode,0.0
119,UTIL0249,SESSION00453,2025-08-01 08:13:48,/contact,voir_page,tablette,France,1493,200,Mode,0.0
120,UTIL0270,SESSION00316,2025-01-24 07:25:38,/connexion,cliquer_produit,ordinateur,France,917,200,Maison,0.0
121,UTIL0149,SESSION00336,2025-03-03 00:31:47,/commande,ajouter_panier,mobile,Allemagne,609,200,Gaming,0.0
122,UTIL0182,SESSION00074,2025-07-23 23:02:27,/promotion,voir_page,ordinateur,Espagne,398,200,Beaute,0.0
123,UTIL0214,SESSION00297,2025-02-28 12:01:20,/contact,voir_page,ordinateur,Pays-Bas,1964,200,Mode,0.0
124,UTIL0125,SESSION00447,2025-10-29 12:33:05,/produits,voir_page,mobile,Pays-Bas,1350,200,Maison,0.0
125,UTIL0040,SESSION00523,2025-11-21 03:33:32,/details-produit,voir_page,ordinateur,Pays-Bas,1511,200,Telephonie,0.0
126,UTIL0121,SESSION00106,2025-03-16 08:12:11,/details-produit,cliquer_produit,tablette,Allemagne,388,200,Telephonie,0.0
127,UTIL0289,SESSION00594,2025-08-18 21:59:56,/connexion,cliquer_produit,tablette,Suisse,1403,200,Gaming,0.0
128,UTIL0035,SESSION00481,2025-08-15 20:19:50,/connexion,voir_page,mobile,Belgique,310,200,Informatique,0.0
129,UTIL0020,SESSION00059,2025-07-08 09:04:41,/connexion,voir_page,ordinateur,Belgique,2156,200,Beaute,0.0
130,UTIL0231,SESSION00586,2025-11-30 06:20:38,/accueil,cliquer_produit,mobile,Belgique,697,404,Sport,0.0
131,UTIL0044,SESSION00517,2025-11-27 05:02:15,/paiement,voir_page,tablette,Espagne,1879,200,Beaute,0.0
132,UTIL0145,SESSION00397,2025-07-29 10:43:38,/paiement,voir_page,ordinateur,Pays-Bas,1450,200,Informatique,0.0
133,UTIL0146,SESSION00259,2025-12-03 19:55:09,/contact,cliquer_produit,mobile,France,2466,200,Mode,0.0
134,UTIL0067,SESSION00087,2025-06-08 17:24:41,/contact,voir_page,mobile,Pays-Bas,603,200,Telephonie,0.0
135,UTIL0048,SESSION00434,2025-09-18 11:01:23,/promotion,achat,mobile,Allemagne,957,200,Telephonie,253.41
136,UTIL0080,SESSION00080,2025-06-01 03:32:49,/details-produit,voir_page,tablette,Pays-Bas,2236,200,Mode,0.0
137,UTIL0193,SESSION00158,2025-03-25 05:53:44,/details-produit,passer_commande,tablette,Pays-Bas,758,200,Informatique,0.0
138,UTIL0228,SESSION00292,2025-08-18 07:34:15,/panier,voir_page,mobile,Pays-Bas,2001,404,Maison,0.0
139,UTIL0237,SESSION00289,2025-07-15 16:33:26,/connexion,voir_page,ordinateur,Pays-Bas,897,200,Maison,0.0
140,UTIL0247,SESSION00381,2025-10-11 03:45:54,/accueil,passer_commande,tablette,Pays-Bas,590,200,Telephonie,0.0
141,UTIL0263,SESSION00151,2025-08-12 02:58:14,/connexion,voir_page,mobile,Italie,189,200,Sport,0.0
142,UTIL0198,SESSION00084,2025-07-11 07:01:20,/panier,cliquer_produit,ordinateur,Pays-Bas,1453,200,Maison,0.0
143,UTIL0072,SESSION00481,2025-08-18 19:00:57,/connexion,voir_page,ordinateur,France,1128,200,Maison,0.0
144,UTIL0217,SESSION00114,2025-05-28 07:19:07,/promotion,cliquer_produit,ordinateur,Allemagne,1799,200,Beaute,0.0
145,UTIL0256,SESSION00549,2025-01-09 20:32:36,/produits,cliquer_produit,ordinateur,Suisse,668,200,Informatique,0.0
146,UTIL0293,SESSION00427,2025-04-06 21:42:05,/panier,cliquer_produit,tablette,Italie,357,404,Beaute,0.0
147,UTIL0284,SESSION00021,2025-07-19 15:02:40,/promotion,cliquer_produit,mobile,Italie,1118,200,Mode,0.0
148,UTIL0124,SESSION00107,2025-10-25 23:48:21,/paiement,ajouter_panier,ordinateur,France,1523,200,Telephonie,0.0
149,UTIL0246,SESSION00187,2025-03-11 02:45:49,/connexion,cliquer_produit,mobile,France,1281,200,Telephonie,0.0
150,UTIL0162,SESSION00318,2025-09-21 12:52:34,/accueil,voir_page,mobile,Italie,229,200,Maison,0.0
151,UTIL0170,SESSION00280,2025-03-05 11:27:56,/accueil,voir_page,mobile,Suisse,1881,200,Sport,0.0
152,UTIL0255,SESSION00510,2025-07-08 16:17:51,/details-produit,voir_page,ordinateur,Suisse,1818,200,Beaute,0.0
153,UTIL0280,SESSION00301,2025-06-14 03:05:20,/details-produit,achat,tablette,Italie,1335,200,Gaming,224.54
154,UTIL0229,SESSION00044,2025-06-30 19:27:17,/paiement,cliquer_produit,tablette,Pays-Bas,314,200,Gaming,0.0
155,UTIL0082,SESSION00032,2025-03-15 19:43:50,/promotion,voir_page,mobile,France,597,200,Telephonie,0.0
156,UTIL0197,SESSION00581,2025-01-17 19:09:43,/paiement,cliquer_produit,mobile,Italie,1603,200,Informatique,0.0
157,UTIL0188,SESSION00408,2025-06-10 20:17:15,/promotion,cliquer_produit,ordinateur,France,842,200,Sport,0.0
158,UTIL0135,SESSION00267,2025-12-27 14:13:39,/produits,passer_commande,mobile,Suisse,2091,200,Maison,0.0
159,UTIL0089,SESSION00456,2025-02-14 21:54:20,/connexion,passer_commande,tablette,Italie,345,200,Mode,0.0
160,UTIL0090,SESSION00371,2025-09-18 07:07:12,/details-produit,passer_commande,ordinateur,Allemagne,2103,200,Beaute,0.0
161,UTIL0283,SESSION00133,2025-11-10 02:04:19,/connexion,cliquer_produit,mobile,Suisse,2040,200,Telephonie,0.0
162,UTIL0065,SESSION00325,2025-11-25 02:28:29,/produits,voir_page,tablette,Belgique,1491,200,Telephonie,0.0
163,UTIL0067,SESSION00444,2025-09-15 01:53:07,/details-produit,ajouter_panier,tablette,Allemagne,1325,200,Mode,0.0
164,UTIL0178,SESSION00532,2025-05-26 02:16:12,/panier,achat,tablette,Belgique,1204,200,Mode,314.93
165,UTIL0298,SESSION00158,2025-03-29 21:39:46,/details-produit,voir_page,tablette,Italie,2388,200,Telephonie,0.0
166,UTIL0296,SESSION00272,2025-11-30 06:49:36,/accueil,voir_page,mobile,Belgique,204,200,Gaming,0.0
167,UTIL0248,SESSION00251,2025-12-17 12:19:29,/commande,cliquer_produit,ordinateur,Suisse,325,200,Sport,0.0
168,UTIL0175,SESSION00148,2025-06-10 22:20:46,/panier,cliquer_produit,mobile,Espagne,615,200,Beaute,0.0
169,UTIL0124,SESSION00478,2025-03-04 08:28:15,/paiement,cliquer_produit,ordinateur,France,287,200,Sport,0.0
170,UTIL0128,SESSION00164,2025-06-17 18:46:20,/contact,passer_commande,ordinateur,Pays-Bas,732,200,Beaute,0.0
171,UTIL0255,SESSION00024,2025-02-16 12:32:29,/commande,cliquer_produit,ordinateur,Allemagne,2469,200,Informatique,0.0
172,UTIL0147,SESSION00550,2025-01-05 03:27:08,/connexion,voir_page,mobile,Suisse,1578,200,Mode,0.0
173,UTIL0292,SESSION00576,2025-04-10 11:35:18,/accueil,voir_page,ordinateur,Espagne,2145,200,Beaute,0.0
174,UTIL0066,SESSION00100,2025-07-21 11:50:21,/produits,voir_page,tablette,Italie,670,200,Beaute,0.0
175,UTIL0024,SESSION00040,2025-03-12 22:21:51,/accueil,voir_page,mobile,Belgique,1951,200,Beaute,0.0
176,UTIL0084,SESSION00403,2025-11-12 23:53:19,/paiement,voir_page,tablette,Italie,2157,200,Beaute,0.0
177,UTIL0244,SESSION00018,2025-07-08 10:43:07,/commande,cliquer_produit,mobile,Belgique,1340,200,Gaming,0.0
178,UTIL0243,SESSION00272,2025-12-02 18:36:14,/accueil,passer_commande,tablette,France,2470,200,Beaute,0.0
179,UTIL0076,SESSION00249,2025-01-17 18:44:07,/contact,cliquer_produit,ordinateur,France,1886,200,Maison,0.0
180,UTIL0211,SESSION00514,2025-11-10 15:55:54,/panier,voir_page,tablette,Suisse,335,200,Beaute,0.0
181,UTIL0245,SESSION00539,2025-07-12 10:11:29,/paiement,voir_page,tablette,Italie,2317,200,Telephonie,0.0
182,UTIL0248,SESSION00197,2025-05-07 08:35:19,/commande,passer_commande,ordinateur,Italie,1263,200,Gaming,0.0
183,UTIL0246,SESSION00358,2025-10-14 23:17:18,/paiement,ajouter_panier,ordinateur,Belgique,2304,200,Sport,0.0
184,UTIL0149,SESSION00044,2025-05-28 22:05:22,/details-produit,ajouter_panier,mobile,Suisse,1130,200,Maison,0.0
185,UTIL0139,SESSION00576,2025-12-23 08:08:06,/promotion,voir_page,tablette,Suisse,2483,200,Informatique,0.0
186,UTIL0116,SESSION00239,2025-01-27 03:26:21,/promotion,cliquer_produit,tablette,Espagne,491,200,Maison,0.0
187,UTIL0081,SESSION00417,2025-12-01 15:30:41,/promotion,voir_page,ordinateur,Pays-Bas,1256,200,Gaming,0.0
188,UTIL0294,SESSION00238,2025-10-01 23:46:54,/produits,voir_page,ordinateur,Allemagne,1791,200,Maison,0.0
189,UTIL0204,SESSION00508,2025-04-06 23:55:59,/accueil,achat,mobile,France,117,200,Beaute,71.5
190,UTIL0233,SESSION00557,2025-09-26 15:56:08,/commande,achat,tablette,Espagne,1197,200,Informatique,178.73
191,UTIL0096,SESSION00015,2025-06-22 09:36:43,/commande,ajouter_panier,ordinateur,Allemagne,1740,200,Beaute,0.0
192,UTIL0049,SESSION00190,2025-03-13 15:20:59,/contact,voir_page,ordinateur,France,1148,200,Sport,0.0
193,UTIL0155,SESSION00597,2025-10-21 00:16:41,/paiement,ajouter_panier,mobile,Suisse,1047,200,Informatique,0.0
194,UTIL0208,SESSION00515,2025-12-27 09:44:07,/details-produit,cliquer_produit,tablette,Italie,1585,200,Maison,0.0
195,UTIL0079,SESSION00466,2025-11-07 11:26:44,/connexion,achat,tablette,Espagne,2281,200,Telephonie,124.84
196,UTIL0270,SESSION00458,2025-09-28 22:23:04,/produits,voir_page,tablette,France,332,200,Beaute,0.0
197,UTIL0077,SESSION00169,2025-06-17 16:28:07,/promotion,voir_page,tablette,Allemagne,2468,200,Beaute,0.0
198,UTIL0233,SESSION00136,2025-09-20 13:29:36,/accueil,voir_page,ordinateur,Belgique,1973,200,Mode,0.0
199,UTIL0131,SESSION00004,2025-04-22 18:04:02,/contact,ajouter_panier,mobile,Italie,341,200,Informatique,0.0
200,UTIL0242,SESSION00033,2025-05-27 13:11:49,/produits,achat,ordinateur,Pays-Bas,1801,200,Sport,235.3
201,UTIL0193,SESSION00083,2025-12-16 21:55:34,/contact,passer_commande,ordinateur,Suisse,1504,200,Beaute,0.0
202,UTIL0115,SESSION00004,2025-01-12 09:29:43,/details-produit,voir_page,tablette,Belgique,1817,200,Telephonie,0.0
203,UTIL0178,SESSION00159,2025-05-22 06:59:56,/connexion,voir_page,tablette,Pays-Bas,542,200,Gaming,0.0
204,UTIL0124,SESSION00212,2025-02-04 03:38:02,/accueil,voir_page,mobile,Belgique,279,200,Informatique,0.0
205,UTIL0277,SESSION00223,2025-01-29 04:32:18,/panier,voir_page,ordinateur,Pays-Bas,2439,200,Beaute,0.0
206,UTIL0122,SESSION00310,2025-03-15 21:33:14,/paiement,ajouter_panier,mobile,Italie,1207,200,Beaute,0.0
207,UTIL0219,SESSION00570,2025-09-11 01:22:41,/details-produit,passer_commande,tablette,Espagne,2228,200,Sport,0.0
208,UTIL0193,SESSION00189,2025-10-03 15:15:54,/commande,voir_page,ordinateur,Italie,671,200,Informatique,0.0
209,UTIL0286,SESSION00543,2025-03-10 12:15:16,/contact,cliquer_produit,ordinateur,Italie,403,404,Telephonie,0.0
210,UTIL0098,SESSION00053,2025-05-18 12:43:38,/promotion,voir_page,tablette,France,378,200,Telephonie,0.0
211,UTIL0112,SESSION00491,2025-04-17 10:19:58,/promotion,cliquer_produit,ordinateur,Allemagne,858,404,Informatique,0.0
212,UTIL0125,SESSION00210,2025-07-23 07:35:20,/connexion,ajouter_panier,mobile,Espagne,1989,200,Mode,0.0
213,UTIL0263,SESSION00510,2025-08-27 03:51:46,/paiement,voir_page,mobile,Pays-Bas,1391,404,Mode,0.0
214,UTIL0289,SESSION00227,2025-03-16 00:16:35,/accueil,voir_page,tablette,Belgique,1790,200,Maison,0.0
215,UTIL0292,SESSION00252,2025-09-13 17:41:43,/contact,voir_page,mobile,Italie,2081,404,Gaming,0.0
216,UTIL0087,SESSION00361,2025-03-28 04:46:34,/connexion,ajouter_panier,mobile,Allemagne,2300,500,Informatique,0.0
217,UTIL0025,SESSION00007,2025-07-31 04:53:40,/produits,cliquer_produit,ordinateur,France,698,200,Beaute,0.0
218,UTIL0248,SESSION00500,2025-01-09 00:34:35,/accueil,cliquer_produit,mobile,France,148,200,Mode,0.0
219,UTIL0009,SESSION00515,2025-12-24 21:27:51,/commande,cliquer_produit,ordinateur,France,474,200,Maison,0.0
